key,number_of_units,electricity_output_capacity (MW),heat_output_capacity (MW),full_load_hours,total_initial_investment_per_plant (Euros),fixed_operation_and_maintenance_costs_per_year (Euros),variable_operation_and_maintenance_costs_per_full_load_hour (Euros),wacc (factor),technical_lifetime (years),total_investment_over_lifetime_per_node (Euros)
agriculture_burner_crude_oil,13.069778349489956,0.0,5.0,2190.0,300000.0,5000.0,0.0,0.04,15.0,3920933.504846987
agriculture_burner_hydrogen,0.0,0.0,5.0,2190.0,300000.0,5000.0,0.0,0.04,15.0,0.0
agriculture_burner_network_gas,894.8444364358036,0.0,5.0,2190.0,300000.0,5000.0,0.0,0.04,15.0,268453330.9307411
agriculture_burner_wood_pellets,102.91298177018584,0.0,5.0,2190.0,1003333.33333333,5000.0,0.0,0.04,15.0,103256025.04275277
agriculture_geothermal,19.199179627329205,0.0,14.0,6000.0,26726000.0,1414000.0,26.6,0.04,30.0,513117274.7200003
agriculture_heatpump_water_water_ts_electricity,0.0,0.0,5.0,971.765172263585,3314285.71428571,17977.6556868764,0.0,0.04,15.0,0.0
buildings_cooling_airconditioning_electricity,2854900.749844108,0.0,0.0025,2240.0,1800.0,25.0,0.0,0.04,15.0,5138821349.719394
buildings_cooling_collective_heatpump_water_water_ts_electricity,334.9283737892613,0.0,2.25,2190.0,953500.0,67530.0,0.0,0.04,15.0,319354204.4080606
buildings_cooling_heatpump_air_water_electricity,0.0,0.0,0.01,560.0,9098.0,100.0,0.0,0.02,15.0,0.0
buildings_cooling_heatpump_air_water_network_gas,2.227530469521605e-12,0.0,2.25,4000.0,2479300.0,99296.24,0.0,0.04,15.0,5.522716293084916e-06
buildings_heating_savings_from_insulation_useable_heat,0,0.0,0.0,0.0,0.0,,,,40.0,0.0
buildings_lighting_savings_from_daylight_control_light,0,0.0,0.0,0.0,,,,,,
buildings_lighting_savings_from_motion_detection_light,0,0.0,0.0,0.0,,,,,,
buildings_solar_pv_solar_radiation,22968750.0,0.00027200000000000005,0.0,867.0,353.60200000000003,4.62,0.0,0.04,25.0,8121795937.500001
buildings_space_heater_coal,0.0,0.0,0.133,1042.44,26600.0,798.0,0.0,0.04,15.0,0.0
buildings_space_heater_collective_heatpump_water_water_ts_electricity,402.2368155886639,0.0,2.25,4277.293414777382,953500.0,67530.0,0.0,0.04,15.0,383532803.663791
buildings_space_heater_combined_hydrogen,0.0,0.0,0.1,1500.0,8940.000000000002,420.00000000000006,0.0,0.04,12.5,0.0
buildings_space_heater_crude_oil,0.0,0.0,0.142,981.12,18460.0,497.0,0.0,0.04,15.0,0.0
buildings_space_heater_district_heating_steam_hot_water,103273.06995090912,0.0,0.011,2499.9999999999995,0.0,0.0,0.0,0.04,30.0,0.0
buildings_space_heater_electricity,0.0,0.0,0.081,1716.96,2025.0,0.0,0.0,0.04,15.0,0.0
buildings_space_heater_heatpump_air_water_electricity,0.0,0.0,0.01,0.0,9098.0,100.0,0.0,0.02,15.0,0.0
buildings_space_heater_heatpump_air_water_network_gas,0.0,0.0,2.25141,4380.0,1929780.0,297861.543,0.0,0.04,15.0,0.0
buildings_space_heater_network_gas,417343.7717945871,0.0,0.043,2000.0,2000.0,130.0,0.0,0.04,15.0,834687543.5891742
buildings_space_heater_solar_thermal,483.192396992481,0.0,0.175,791.666666666667,144375.0,1837.5,0.0,0.04,20.0,69760902.31578945
buildings_space_heater_wood_pellets,5560.405324410087,0.0,0.137,1016.16,34318.5,1644.0,0.0,0.04,15.0,190824770.12576756
energy_battery_solar_electricity,0,0.0,0.0,,,,,,,
energy_battery_wind_electricity,0,0.0,0.0,,,,,,,
energy_chp_coal_gas,1.242448764769072,129.59782827267253,9.068469736577509,5320.0,169050000.0,1610000.0,328.7,0.04,30.0,210035963.68421164
energy_chp_combined_cycle_network_gas,8.258423590791828,112.96969999999999,79.56463628163692,7260.654386498788,115043478.26,1095652.17,328.7,0.04,30.0,950077774.8291309
energy_chp_local_engine_biogas,53.30158769615866,1.974,1.8330000000000002,8500.0,1200000.0,0.0,16.0,0.04,20.0,63961905.235390395
energy_chp_local_engine_network_gas,1436.512563357867,1.974,2.35,86.72765334274196,1200000.0,0.0,16.0,0.04,20.0,1723815076.0294404
energy_chp_local_wood_pellets,3.380924837792206,14.64,37.59552584527893,7647.4780451465285,83232000.0,1025811.28,0.0,0.04,25.0,281401136.0991209
energy_chp_supercritical_ccs_waste_mix,0.0,57.93485,56.518350000000005,0.0,231000000.0,4800000.0,0.0,0.04,30.0,0.0
energy_chp_supercritical_waste_mix,19.68862187442352,45.439899999999994,44.32368467159574,7649.759882320829,162000000.0,4800000.0,0.0,0.04,30.0,3189556743.6566105
energy_chp_ultra_supercritical_coal,0.15740858260019536,660.0,194.97675417415508,7549.742528859242,1182605000.0,32278160.0,1530.43,0.04,40.0,186152176.82590404
energy_chp_ultra_supercritical_cofiring_coal,0.7121398721251816,695.64,260.833608344693,7479.009873936228,1319134000.0,30887040.0,1544.35,0.04,40.0,939407918.0759794
energy_chp_ultra_supercritical_lignite,0.0,700.0,300.0,0.0,1085000000.0,32480000.0,1540.0,0.04,30.0,0.0
energy_distribution_imported_heat,0,0.0,0.0,,,,,,,
energy_flexibility_flow_batteries_electricity,0,190.0,0.0,0.0,1046000000.0,0.0,0.0,0.07,25.0,0.0
energy_flexibility_hv_opac_electricity,0,1400.0,0.0,0.0,1785000000.0,19800000.0,0.0,0.07,50.0,0.0
